BlockID,Name,Prefab Path
1,Block_Road,prefab/Block_Road/Block_Road
2,Block_Rock,prefab/Block_Rock/Block_Rock
3,Block_Ice,prefab/Block_Ice/Block_Ice
4,Block_Thorn,prefab/Block_Thorn/Block_Thorn
5,Block_Medicine,prefab/Block_Medicine/Block_Medicine
6,Block_Hole_0,prefab/Block_Hole/Block_Hole_0
7,Block_Hole_1,prefab/Block_Hole/Block_Hole_1
8,Block_Teleport_A,prefab/Block_Teleport/Block_Teleport_A
9,Block_Teleport_B,prefab/Block_Teleport/Block_Teleport_B
10,Block_Stairs,prefab/Block_Stairs/Block_Stairs
11,Block_Wall,prefab/Block_Wall/Block_Wall
12,Block_Wall_1_1,prefab/Block_Wall/Block_Wall_1_1
13,Block_Wall_1_2,prefab/Block_Wall/Block_Wall_1_2
14,Block_Wall_1_3,prefab/Block_Wall/Block_Wall_1_3
15,Block_Wall_1_4,prefab/Block_Wall/Block_Wall_1_4
16,Block_Wall_1_5,prefab/Block_Wall/Block_Wall_1_5
17,Block_Wall_1_6,prefab/Block_Wall/Block_Wall_1_6
18,Block_Wall_1_7,prefab/Block_Wall/Block_Wall_1_7
19,Block_Wall_1_8,prefab/Block_Wall/Block_Wall_1_8
20,Block_Wall_2_1,prefab/Block_Wall/Block_Wall_2_1
21,Block_Wall_2_2,prefab/Block_Wall/Block_Wall_2_2
22,Block_Wall_2_3,prefab/Block_Wall/Block_Wall_2_3
23,Block_Wall_2_4,prefab/Block_Wall/Block_Wall_2_4
24,Block_Wall_2_5,prefab/Block_Wall/Block_Wall_2_5
25,Block_Wall_2_6,prefab/Block_Wall/Block_Wall_2_6
26,Block_Wall_2_7,prefab/Block_Wall/Block_Wall_2_7
27,Block_Wall_2_8,prefab/Block_Wall/Block_Wall_2_8
28,Block_Wall_3_1,prefab/Block_Wall/Block_Wall_3_1
29,Block_Wall_3_2,prefab/Block_Wall/Block_Wall_3_2
30,Block_Wall_3_3,prefab/Block_Wall/Block_Wall_3_3
31,Block_Wall_3_4,prefab/Block_Wall/Block_Wall_3_4
32,Block_Wall_L_1,prefab/Block_Wall/Block_Wall_L_1
33,Block_Wall_L_2,prefab/Block_Wall/Block_Wall_L_2
34,Block_Wall_L_3,prefab/Block_Wall/Block_Wall_L_3
35,Block_Wall_L_4,prefab/Block_Wall/Block_Wall_L_4
36,Block_Wall_4,prefab/Block_Wall/Block_Wall_4
37,Block_Player,prefab/Block_Player/Player
